판매소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업자등록번호,대형폐기물스티커판매여부,영업상태명,전화번호,지정일자,폐업일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
세븐국원대로점,충청북도,충주시,충청북도 충주시 국원대로 356,충청북도 충주시 목행동 33-12,37.00319206,127.930024,510-08-64429,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
선재식품,충청북도,충주시,충청북도 충주시 목행산단7로 24,충청북도 충주시 목행동 526-29,37.00399645,127.9230838,303-03-71948,N,영업,043-853-3651,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
샘표식자재전문대리점,충청북도,충주시,충청북도 충주시 목행산단5로 54,충청북도 충주시 목행동 426-4,37.00606579,127.9238262,303-01-86689,N,영업,043-852-6488,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
새한하이퍼마켓,충청북도,충주시,충청북도 충주시 목행산단3로 13-7,충청북도 충주시 목행동 508-35,37.00410096,127.9180664,303-07-09952,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
새한아파트,충청북도,충주시,충청북도 충주시 목행산단3로 13-9,충청북도 충주시 목행동 508-35,37.00364996,127.9175344,502-82-85272,N,영업,043-853-8992,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
빈럽(Bean Luv),충청북도,충주시,충청북도 충주시 국원대로 548,,37.01653966,127.9371678,143-12-01823,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
복지슈퍼,충청북도,충주시,충청북도 충주시 행정8길 19,충청북도 충주시 목행동 605-2,37.01214612,127.9176867,303-01-25998,N,영업,043-853-5480,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
박통상회,충청북도,충주시,충청북도 충주시 목행산단7로 24,충청북도 충주시 목행동 526-29,37.00399645,127.9230838,303-11-63249,N,영업,043-853-5628,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
목행산업용재유통센터,충청북도,충주시,충청북도 충주시 충주호수로 15,충청북도 충주시 목행동 676-44,37.01614374,127.9198596,303-11-47481,N,영업,043-857-0988,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
목행문화유통,충청북도,충주시,충청북도 충주시 행정13길 2-1,충청북도 충주시 목행동 600-1,37.01422804,127.9172027,307-04-38593,N,영업,043-853-1032,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
목행M마트,충청북도,충주시,충청북도 충주시 행정13길 7,충청북도 충주시 목행동 676-30,37.01470242,127.9175679,230-87-01047,N,영업,043-851-7718,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
모두유통,충청북도,충주시,충청북도 충주시 목행산단5로 41,충청북도 충주시 목행동 558-1,37.00679487,127.9214687,303-10-58720,N,영업,043-852-9394,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
남한강낚시,충청북도,충주시,충청북도 충주시 행정7길 40-1,충청북도 충주시 목행동 600-9,37.01415721,127.9169358,303-01-76046,N,영업,0507-1311-380,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
나나리슈퍼,충청북도,충주시,충청북도 충주시 행정5길 6,충청북도 충주시 목행동 666-17,37.01037278,127.9174177,303-02-58711,N,영업,043-853-4669,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
개편한편의점,충청북도,충주시,충청북도 충주시 행정11길 40,충청북도 충주시 목행동 596,37.01488115,127.9183532,658-27-00636,N,영업,070-7571-9682,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25충주산업단지점,충청북도,충주시,충청북도 충주시 충주산단1로 146-2,충청북도 충주시 용탄동 1171,37.00881147,127.9489383,629-09-02549,N,영업,0507-1495-046,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
CU한라비발디점,충청북도,충주시,충청북도 충주시 목행산단4로 13,충청북도 충주시 목행동 886,37.00593134,127.9174274,303-08-28354,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
CU충주코스모점,충청북도,충주시,충청북도 충주시 충주호수로 93-2,충청북도 충주시 목행동 198-39,37.01855022,127.9272283,509-31-01529,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
CU목행중앙점,충청북도,충주시,충청북도 충주시 행정12길 11,충청북도 충주시 목행동 595-11,37.01442893,127.9185255,303-01-96590,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
CU뉴목행점,충청북도,충주시,충청북도 충주시 충원대로 978,충청북도 충주시 목행동 602-14,37.01286793,127.916384,231-13-00749,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
CJ종합유통,충청북도,충주시,충청북도 충주시 목행산단5로 70,충청북도 충주시 목행동 422-6,37.00636921,127.9245271,303-08-69694,N,영업,043-851-3101,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
호암마트연수,충청북도,충주시,충청북도 충주시 계명대로 244,충청북도 충주시 연수동 1698,36.98227495,127.9416971,557-06-00250,N,영업,043-856-6900,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
현주슈퍼,충청북도,충주시,충청북도 충주시 동수5길 18,충청북도 충주시 연수동 510-31,36.98432539,127.9354289,303-12-21023,N,영업,043-845-3405,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
하나유통,충청북도,충주시,충청북도 충주시 연수상가4길 23,충청북도 충주시 연수동 842,36.98948909,127.9294922,303-09-69629,N,영업,043-846-5811,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
하나마트,충청북도,충주시,충청북도 충주시 번영대로 162,충청북도 충주시 연수동 532-59,36.98689933,127.9355776,523-14-00096,N,영업,043-855-0066,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
팡팡마트,충청북도,충주시,충청북도 충주시 연수로1길 3,충청북도 충주시 연수동 650-1,36.99175052,127.9352776,560-88-00188,N,영업,043-848-4900,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
충주중앙초등학교,충청북도,충주시,충청북도 충주시 연원5길 19,충청북도 충주시 연수동 1003,36.98420403,127.9303592,303-83-03796,N,영업,043-844-2904,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
중원철물건재,충청북도,충주시,충청북도 충주시 금곡로 25,충청북도 충주시 연수동 544-5,36.98909038,127.9342315,303-12-19513,N,영업,043-852-6939,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
중앙건재,충청북도,충주시,충청북도 충주시 계명대로 141,충청북도 충주시 연수동 1161,36.98253497,127.9303303,303-10-97344,N,영업,043-854-2264,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
주문마트,충청북도,충주시,충청북도 충주시 연원5길 45,충청북도 충주시 연수동 753-12,36.98541388,127.9310933,833-44-01475,N,영업,043-847-8089,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
제일유통,충청북도,충주시,충청북도 충주시 연원1길 40,충청북도 충주시 연수동 1036,36.98364016,127.932184,303-09-34358,N,영업,043-845-1216,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
제일안전,충청북도,충주시,충청북도 충주시 금릉로 89,충청북도 충주시 연수동 1291,36.9848176,127.9258128,303-81-25141,N,영업,043-851-1646,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
정복스토리(외계인아울렛충주점),충청북도,충주시,충청북도 충주시 계명대로 248,충청북도 충주시 연수동 1679,36.98225159,127.9420406,860-08-02745,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
임광아파트,충청북도,충주시,충청북도 충주시 국원대로 166,충청북도 충주시 연수동 931,36.98658204,127.9297209,604-82-60771,N,영업,043-848-0025,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
임광슈퍼,충청북도,충주시,충청북도 충주시 국원대로 166,충청북도 충주시 연수동 931,36.98658204,127.9297209,205-11-81676,N,영업,043-853-9938,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
이마트24연수리슈빌점,충청북도,충주시,충청북도 충주시 연수서편2길 37,충청북도 충주시 연수동 796-26,36.98983469,127.9337571,826-23-02108,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
이마트24 충주연수센터점,충청북도,충주시,충청북도 충주시 연수상가길 20,충청북도 충주시 연수동 882,36.98794326,127.9290642,431-06-03576,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
이마트24 충주명품점,충청북도,충주시,충청북도 충주시 계명대로 236,충청북도 충주시 연수동 1703,36.98228083,127.9407175,713-10-02286,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
유원하나슈퍼,충청북도,충주시,충청북도 충주시 갱고개로 114,충청북도 충주시 연수동 418,36.98119101,127.9400003,297-15-00118,N,영업,043-852-3867,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
유원2차아파트,충청북도,충주시,충청북도 충주시 국원초2길 20,충청북도 충주시 연수동 421-7,36.98135201,127.9425482,174-82-68103,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
원예농협하나로마트,충청북도,충주시,충청북도 충주시 번영대로 229,충청북도 충주시 연수동 1332,36.98746377,127.9432718,303-82-09022,N,영업,043-850-9678,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
우리철물백화점,충청북도,충주시,충청북도 충주시 연원5길 1,충청북도 충주시 연수동 977,36.98383692,127.9285435,303-10-40308,N,영업,043-856-5987,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
우리공판장,충청북도,충주시,충청북도 충주시 연수서1길 15,충청북도 충주시 연수동 778-1,36.9859983,127.9261058,303-09-73725,N,영업,043-842-4111,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수힐스테이트아파트,충청북도,충주시,충청북도 충주시 연수동산로 26,충청북도 충주시 연수동 1627,36.98609757,127.9439772,303-82-73107,N,영업,043-857-1515,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수힐스테이트,충청북도,충주시,충청북도 충주시 연수동산로 26,충청북도 충주시 연수동 1627,36.98609757,127.9439772,303-82-73107,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수초등학교,충청북도,충주시,충청북도 충주시 번영대로 181,충청북도 충주시 연수동 1232,36.98800986,127.9385008,303-83-03928,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수주공7단지아파트,충청북도,충주시,충청북도 충주시 갱고개로 230,충청북도 충주시 연수동 1759,36.992958,127.9392501,313-82-73502,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수주공5단지아파트,충청북도,충주시,충청북도 충주시 예성로 401,,36.99227697,127.9315576,217-82-75779,N,영업,043-848-1711,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수주공3단지아파트,충청북도,충주시,충청북도 충주시 주공길 24,충청북도 충주시 연수동 1231,36.98916482,127.9381832,234-82-63910,N,영업,043-844-9926,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수주공2단지아파트,충청북도,충주시,충청북도 충주시 예성로 360,충청북도 충주시 연수동 1228,36.98921896,127.9364958,303-85-08062,N,영업,043-852-3808,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수주공1단지아파트,충청북도,충주시,충청북도 충주시 예성로 353,,36.98748271,127.9333972,306-82-61876,N,영업,043-848-3808,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수종합슈퍼,충청북도,충주시,충청북도 충주시 금곡로 49,충청북도 충주시 연수동 585-1,36.98986804,127.9366942,303-09-10579,N,영업,043-843-7008,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수아이파크,충청북도,충주시,충청북도 충주시 연수로1길 12,충청북도 충주시 연수동 605,36.99311258,127.9362324,120-82-68237,N,영업,043-855-0850,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수세영리첼1단지,충청북도,충주시,충청북도 충주시 연수동산로 37,충청북도 충주시 연수동 1625,36.98623855,127.9403609,605-82-79711,N,영업,043-847-7771,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수부강아파트,충청북도,충주시,충청북도 충주시 후곡길 19,,36.9928439,127.9307313,605-82-78629,N,영업,043-844-4106,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수리슈빌아파트,충청북도,충주시,충청북도 충주시 연수동산로 12,충청북도 충주시 연수동 1629,36.98398812,127.9427192,303-82-73145,N,영업,043-852-4600,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
연수6단지아파트,충청북도,충주시,충청북도 충주시 금곡서1길 5,충청북도 충주시 연수동 1755,36.98927548,127.9394808,176-82-71128,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
야옹아멍멍해봐,충청북도,충주시,충청북도 충주시 계명대로 203,충청북도 충주시 연수동 456-13,36.9826295,127.9372246,415-10-05297,N,영업,043-856-0049,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
애플유통,충청북도,충주시,충청북도 충주시 국원대로 154,충청북도 충주시 연수동 934,36.98528773,127.9285638,220-03-03067,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
알파문구연수점,충청북도,충주시,충청북도 충주시 계명대로 258,충청북도 충주시 연수동 1675,36.98230683,127.9432312,303-13-15571,N,영업,0507-1405-256,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
아울렛DC마트,충청북도,충주시,충청북도 충주시 번영대로 170,충청북도 충주시 연수동 1391,36.98681542,127.9364253,303-08-33390,N,영업,043-844-6959,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
씨유 충주지상낙원점,충청북도,충주시,충청북도 충주시 동수5길 47,충청북도 충주시 연수동 1458-2,36.98450002,127.9387608,484-41-01291,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
썬마트,충청북도,충주시,충청북도 충주시 연원로 27-3,충청북도 충주시 연수동 716-1,36.98878243,127.9311199,303-05-53129,N,영업,043-852-5645,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
스마일 24 충주점,충청북도,충주시,충청북도 충주시 예성로 325,충청북도 충주시 연수동 525-1,36.98541376,127.9334146,559-03-03908,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
센트럴푸르지오아파트,충청북도,충주시,충청북도 충주시 연수서편2길 11,충청북도 충주시 연수동 1767,36.99056962,127.9295274,512-82-74980,N,영업,043-857-1185,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세원한아름아파트,충청북도,충주시,충청북도 충주시 금릉로 101,충청북도 충주시 연수동 1220,36.98505464,127.9268442,233-82-62451,N,영업,043-844-4173,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세원연수아파트,충청북도,충주시,충청북도 충주시 번영대로 120,충청북도 충주시 연수동 930,36.98652484,127.9312937,228-82-65679,N,영업,043-843-1058,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세원마트,충청북도,충주시,충청북도 충주시 금릉로 101,충청북도 충주시 연수동 1220,36.98505464,127.9268442,303-12-98589,N,영업,043-847-1431,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐충주연수칠금점,충청북도,충주시,충청북도 충주시칠금18길38,,36.98579135,127.9242775,160-47-01188,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐충주연수중앙점,충청북도,충주시,충청북도 충주시 갱고개로 154,충청북도 충주시 연수동 1609,36.98455438,127.9397711,759-16-02116,N,영업,043-847-9007,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐충주연수본점,충청북도,충주시,충청북도 충주시 예성로 398,충청북도 충주시 연수동 667-2,36.99181429,127.9343186,497-13-00903,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수주공스타점,충청북도,충주시,충청북도 충주시 예성로 401,,36.99227697,127.9315576,567-44-00958,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수원룸점,충청북도,충주시,충청북도 충주시 금곡서1길 16,충청북도 충주시 연수동 1316-1,36.98808001,127.9407712,217-22-10511,N,영업,070-7074-4259,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수센터점,충청북도,충주시,충청북도 충주시 연수상가4길 8,충청북도 충주시 연수동 897,36.98787938,127.9297201,637-31-01483,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수사랑점,충청북도,충주시,충청북도 충주시 동수12길 40,충청북도 충주시 연수동 1419,36.98600113,127.9381503,364-48-01074,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수낙원점,충청북도,충주시,충청북도 충주시 동수11길 27,충청북도 충주시 연수동 484,36.98512439,127.9366004,203-05-77781,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐연수국원점,충청북도,충주시,충청북도 충주시 국원초3길 33,충청북도 충주시 연수동 1684-2,36.981755,127.9434048,569-17-01767,N,영업,043-857-3379,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐세영리첼점,충청북도,충주시,충청북도 충주시 연수동산로 27,충청북도 충주시 연수동 1561,36.98513628,127.9418165,158-85-02420,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
삼성2차아파트,충청북도,충주시,충청북도 충주시 연수서1길 20,충청북도 충주시 연수동 1219,36.98605903,127.9267645,617-82-77531,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
사오마트,충청북도,충주시,충청북도 충주시 예성로 399,충청북도 충주시 연수동 687,36.99189464,127.9338529,303-13-52673,N,영업,043-848-4249,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
비석농산,충청북도,충주시,충청북도 충주시 연원8길 15,충청북도 충주시 연수동 753-16,36.98515584,127.9310801,303-08-89889,N,영업,043-842-0875,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
미니스톱아이파크,충청북도,충주시,충청북도 충주시 연수로2길 12,충청북도 충주시 연수동 599-4,36.99226181,127.9382304,695-71-00453,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
모닝마트연수점,충청북도,충주시,충청북도 충주시 연수동산로 11,충청북도 충주시 연수동 1549,36.98367768,127.9417237,732-41-00890,N,영업,043-855-6489,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
맥시칸치킨,충청북도,충주시,충청북도 충주시 주공길 10,충청북도 충주시 연수동 1231,36.98817502,127.9372361,303-03-65937,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
링크맘 충주점,충청북도,충주시,충청북도 충주시 번영대로 206,충청북도 충주시 연수동 1365,36.98686892,127.9404855,303-12-30686,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
라이프생활용품,충청북도,충주시,충청북도 충주시 금곡로 49-6,충청북도 충주시 연수동 616-9,36.99046434,127.9371412,590-39-00857,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
두진아파트,충청북도,충주시,충청북도 충주시 연수로 7,,36.99187085,127.9312381,209-82-73635,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
두진L마트,충청북도,충주시,충청북도 충주시 연수로 20,충청북도 충주시 연수동 700-4,36.99118716,127.9308785,303-81-27208,N,영업,043-843-0019,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
놀부공판장,충청북도,충주시,충청북도 충주시 예성로 360,충청북도 충주시 연수동 1228,36.98921896,127.9364958,303-09-57308,N,영업,043-842-4930,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
낙원슈퍼,충청북도,충주시,충청북도 충주시 동수5길 32,충청북도 충주시 연수동 464-3,36.98431424,127.9369677,303-06-64720,N,영업,043-852-5739,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
금릉마트,충청북도,충주시,충청북도 충주시 응골2길 23,충청북도 충주시 연수동 700-8,36.99254353,127.9311856,303-04-38252,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
굿푸드마켓연수점,충청북도,충주시,충청북도 충주시 연수서편2길 25,,36.99005239,127.9322145,293-09-01619,N,영업,043-844-3355,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
국원초등학교,충청북도,충주시,충청북도 충주시 국원초1길 47,충청북도 충주시 연수동 1661,36.98134436,127.9444742,303-83-04719,N,영업,043-723-2302,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
공원할인마트,충청북도,충주시,충청북도 충주시 연수상가2길 3,충청북도 충주시 연수동 874,36.98838351,127.9293525,301-07-96034,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
계룡마트,충청북도,충주시,충청북도 충주시 연수동산로 14,충청북도 충주시 연수동 1629,36.98395019,127.9422755,303-09-71052,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
계룡리슈빌2차아파트,충청북도,충주시,충청북도 충주시 연수서편2길 32,충청북도 충주시 연수동 1763,36.9886897,127.9323163,135-82-89267,N,영업,043-857-8906,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS리테일 연수점,충청북도,충주시,충청북도 충주시 금곡로 61,충청북도 충주시 연수동 591-1,36.99049726,127.9379586,303-85-17765,N,영업,043-724-1001,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25충주한림점,충청북도,충주시,충청북도 충주시 갱고개로 121-2,충청북도 충주시 연수동 1721-4,36.98201543,127.9395163,465-11-01352,N,영업,043-857-1917,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25충주푸르지오점,충청북도,충주시,충청북도 충주시 연수서편2길 11,충청북도 충주시 연수동 1767,36.99056962,127.9295274,646-31-01395,N,영업,080-999-5425,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25충주우림점,충청북도,충주시,충청북도 충주시 번영대로 134,충청북도 충주시 연수동 926,36.98698295,127.9323132,482-24-01793,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25충주연수계룡점,충청북도,충주시,충청북도 충주시 연수서편2길 31,,36.9899133,127.9329382,391-15-02174,N,영업,043-845-7407,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25연수행운점,충청북도,충주시,충청북도 충주시 동수1길 21,충청북도 충주시 연수동 1386,36.98666132,127.9370104,851-17-02442,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25연수한아름점,충청북도,충주시,충청북도 충주시 연수서2길 16,충청북도 충주시 연수동 1267,36.98536837,127.9257264,278-24-01651,N,영업,043-847-2094,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25연수제일점,충청북도,충주시,충청북도 충주시 갱고개로 218,충청북도 충주시 연수동 301-1,36.99036304,127.9391511,530-27-01579,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25연수세원점,충청북도,충주시,충청북도 충주시 번영대로 118,충청북도 충주시 연수동 930,36.98700539,127.9305207,303-09-49074,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25상록점,충청북도,충주시,충청북도 충주시 연수상가길 32,충청북도 충주시 연수동 902,36.98759876,127.9302651,303-07-10667,N,영업,043-848-4174,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25낙원점,충청북도,충주시,충청북도 충주시 동수5길 42,충청북도 충주시 연수동 1461,36.98429446,127.9381028,303-11-95931,N,영업,043-845-6184,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25금릉초교점,충청북도,충주시,충청북도 충주시 응골3길 2,충청북도 충주시 연수동 701-11,36.99262327,127.930198,772-26-01012,N,영업,043-851-2684,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
GS25 충주연수주공점,충청북도,충주시,충청북도 충주시 예성로 399,충청북도 충주시 연수동 687,36.99189464,127.9338529,707-24-01902,N,영업,043-853-4862,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
